Url,Name,Brand,Model,Type,City,Engine,Color,Fuel_Type,Warranty,Dealer_Name,Chassis,Year,Door,Seats,Power,Date
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=680809220&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Flinc%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2020 Lamborghini Aventador SVJ,,,,"3914 Stadium Blvd, Jonesboro, AR 72404",6.5L 12-Cylinder Gas Engine,,,,Elite Autos LLC,,,,,,"01/09/2023, 10:03:07"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=687208751&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fcad%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2022 Tesla Model X Plaid,,,,"15402 STONY CREEK WAY, SUITE A, Noblesville, IN 46060",Electric Engine,,,,"Indiana Horse Power, LLC",,,,,,"01/09/2023, 10:03:43"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=684177091&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fsub%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2022 Mercedes-Benz EQB 300 4MATIC,,,,"204 PRESIDENTIAL BLVD, Paterson, NJ 07522",Electric Engine,,,,Bidgodrive.com,,,,,,"01/09/2023, 10:04:22"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=676804124&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Flam%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2021 Ford Transit 250 Medium Roof,,,,"28339 Hwy 75, Oneonta, AL 35121",3.5L 6-Cylinder Flexible Fuel Engine,,,,All American Chrysler Dodge Jeep Ram,,,,,,"01/09/2023, 10:05:52"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=684248339&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fchry%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2014 Ford Taurus Police Interceptor AWD,,,,"1651 N BROADWAY RD, Lexington, KY 40505",3.7L 6-Cylinder Gas Engine,,,,Broadway Automall,,,,,,"01/09/2023, 10:06:22"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=673853060&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fchev%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=spotlight,Used 2019 Mercedes-Benz S 450 Sedan,,,,"8443 MCCOY RD, Orlando, FL 32822",3.0L 6-Cylinder Turbo Gas Engine,,,,OffLeaseOnly.com - The Nation's Used Car Destination!,,,,,,"01/09/2023, 10:06:51"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691879779&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=SCION&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fscion%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=spotlight,Used 2014 Scion xB,,,,"16570 S. Highland, Fontana, CA 92336",2.4L 4-Cylinder Gas Engine,,,,Rock Honda,,,,,,"01/09/2023, 10:07:34"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670222392&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fisu%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2021 Jeep Wrangler Unlimited Sahara,,,,"1242 S MADISON ST, Whiteville, NC 28472",3.6L 6-Cylinder Gas Engine,,,,Patriot Ford of Whiteville,,,,,,"01/09/2023, 10:09:22"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=688387194&endYear=2022&isNewSearch=false&listingTypes=USED&makeCodeList=FORD&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fford%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=spotlight,Used 2018 Ford F150 Lariat,,,,"47 N SERVICE RD W, Sullivan, MO 63080",3.5L 6-Cylinder Turbo Gas Engine,,,,Laura Ford of Sullivan,,,,,,"01/09/2023, 10:09:47"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=684124124&endYear=2022&isNewSearch=false&listingTypes=USED&marketExtension=include&numRecords=24&referrer=%2Fcars-for-sale%2Fsub%3FendYear%3D2022%26isNewSearch%3Dfalse%26marketExtension%3Dinclude%26numRecords%3D24%26searchRadius%3D0%26sortBy%3Drelevance%26startYear%3D2010&searchRadius=0&sortBy=relevance&startYear=2010&clickType=listing,Used 2013 Mercedes-Benz C 300 4MATIC Sedan,,,,"296 WARRENTON RD, Fredericksburg, VA 22405",3.5L 6-Cylinder Gas Engine,,,,"Nationwide Motors, LLC",,,,,,"01/09/2023, 10:10:08"
